review,cleaned,sentiment
"""매번 쓰던 색상입니다",매번 쓰던 색상입니다,긍정
제가 원하는 색이에요~ 오렌지에 핑크빛인데 레드는 너무 자극적이고 러블리한색 원했는데 넘맘에 들어요. 뻑뻑해서 면봉 이용해요~,제가 원하는 색이에요 오렌지에 핑크빛인데 레드는 너무 자극적이고 러블리한색 원했는데 넘맘에 들어요 뻑뻑해서 면봉 이용해요,긍정
엄청 이뻐요.. 입생로랑 이렇게 드럽게 비싼것보다 가격도 합리적이고 발색도 부드러움 안살이유가없어여..만원대에 이정도면 화장품회사에서 외계인을 고문한 것이 아닐까요?? 정말 감사합니다 사장님 앞으로도 많이파시고 부자되세요~^^,엄청 이뻐요 입생로랑 이렇게 드럽게 비싼것보다 가격도 합리적이고 발색도 부드러움 안살이유가없어여만원대에 이정도면 화장품회사에서 외계인을 고문한 것이 아닐까요 정말 감사합니다 사장님 앞으로도 많이파시고 부자되세요,긍정
"""지속력도 좋고 건조하지않아",지속력도 좋고 건조하지않아,긍정
"""발림성은 촉촉하진 않고 꾸덕한 편이라 입술 각질제거 후 립밤이랑 같이 바르면 좋을 것 같아요! 근데 지속력이 진짜 미쳤어요ㅋㅋㅋ 밥 먹어도 안지워지는.. 오자마자 발랐는데 전 지속력면에선 만족합니다! 단, 색상이 조금 진한 것 같아서 양조절 잘 해야할 것 같아요! 모스는 데일리로 바르기 좋을 듯하고 로지에는 살짝 진해서 포인트주기 좋아요 무튼 만족??????""",발림성은 촉촉하진 않고 꾸덕한 편이라 입술 각질제거 후 립밤이랑 같이 바르면 좋을 것 같아요 근데 지속력이 진짜 미쳤어요 밥 먹어도 안지워지는 오자마자 발랐는데 전 지속력면에선 만족합니다 단 색상이 조금 진한 것 같아서 양조절 잘 해야할 것 같아요 모스는 데일리로 바르기 좋을 듯하고 로지에는 살짝 진해서 포인트주기 좋아요 무튼 만족,긍정
항상 쓰던 제품입니다. 다른 제품들 쓸 때보다 발림이나 지속력이 좋고. 다른 분들도 생기있고 잘 어울린다고 해서 애용하는 제품입니다.,항상 쓰던 제품입니다 다른 제품들 쓸 때보다 발림이나 지속력이 좋고 다른 분들도 생기있고 잘 어울린다고 해서 애용하는 제품입니다,긍정
"""미뇽만 3~4개째 사용중이예요~",미뇽만 34개째 사용중이예요,긍정
"""여태산틴트중 최애",여태산틴트중 최애,긍정
"""발색력 짱짱좋고 유지력도 최고네요",발색력 짱짱좋고 유지력도 최고네요,긍정
"""별점이 낮으니 후기가 뒤로 밀리겠죠",별점이 낮으니 후기가 뒤로 밀리겠죠,긍정
"""브리스.. 시간이 지나도 붉거나 보라로 올라오지 않아서 제 인생컬러인데요. 3년 넘게쓴거 같아요.",브리스 시간이 지나도 붉거나 보라로 올라오지 않아서 제 인생컬러인데요 3년 넘게쓴거 같아요,긍정
"""발색도 너무 자연스럽고 음식 먹고 해도 색이 오래가요",발색도 너무 자연스럽고 음식 먹고 해도 색이 오래가요,긍정
"""주문 하루만에 잘 받았습니다",주문 하루만에 잘 받았습니다,긍정
"""친구들이랑 나눴는데",친구들이랑 나눴는데,긍정
이색은 처음처보는데 색 은은한게 이쁘네요 발림성좋고 오래 유지되고 좋아요.,이색은 처음처보는데 색 은은한게 이쁘네요 발림성좋고 오래 유지되고 좋아요,긍정
포렌코즈 호즈 색상을 진짜 좋아하는데 동일한 색상이 아무리 찾아봐도 없어서 다시 연어가 되었습니다..근데 눈여겨봤던 복숭아로즈색도 화사하고 예쁘네요! 공식 입술발색샷보다 인물모델샷 색상이랑 더 유사합니다 생각보다 화사해요. 호즈는 연하게 발라도 이쁘고 진해도 이쁩니다. 근데 색이 리뉴얼된 건 아닌 거 같은데 괜히 예전 호즈 색상이 좀 더 좋았던 거 같기도..? 근데 기분탓인 거 같기도 해요. 아무튼 정말 예쁜 로즈입니다. 형광기도는 레드 아니고 약간 버건디 느낌인데 핑크도 살짝 있는 예쁜 로즈입니다.,포렌코즈 호즈 색상을 진짜 좋아하는데 동일한 색상이 아무리 찾아봐도 없어서 다시 연어가 되었습니다근데 눈여겨봤던 복숭아로즈색도 화사하고 예쁘네요 공식 입술발색샷보다 인물모델샷 색상이랑 더 유사합니다 생각보다 화사해요 호즈는 연하게 발라도 이쁘고 진해도 이쁩니다 근데 색이 리뉴얼된 건 아닌 거 같은데 괜히 예전 호즈 색상이 좀 더 좋았던 거 같기도 근데 기분탓인 거 같기도 해요 아무튼 정말 예쁜 로즈입니다 형광기도는 레드 아니고 약간 버건디 느낌인데 핑크도 살짝 있는 예쁜 로즈입니다,긍정
퀸은 약간 핑크빛이 많이 돌긴 하네요ㅠ 그래도 지속력은 좋은 것 같아요!,퀸은 약간 핑크빛이 많이 돌긴 하네요 그래도 지속력은 좋은 것 같아요,긍정
착색 예쁘게돼서 농담아니고 한 열통째 쓰고잇어요 죽을때까지 쓸듯,착색 예쁘게돼서 농담아니고 한 열통째 쓰고잇어요 죽을때까지 쓸듯,긍정
"""발색, 발림성이 놓습니다 착색도 조금 있는데 유지력만 조금 약한거같아요""",발색 발림성이 놓습니다 착색도 조금 있는데 유지력만 조금 약한거같아요,긍정
여러 립제품을 사용해 본 결과 발림성 지속성 색상 여기 제품이 젤 맘에 들어요,여러 립제품을 사용해 본 결과 발림성 지속성 색상 여기 제품이 젤 맘에 들어요,긍정
발림성좋아요 굿굿굿,발림성좋아요 굿굿굿,긍정
"""넘 예뽀요 핌팡색상 ㅎㅎ 몇년째 즐겨쓰눈",넘 예뽀요 핌팡색상 몇년째 즐겨쓰눈,긍정
"""안지워지고 안묻고 하는건 아닌데 오래가는것 같긴해요, 18번이 품절이라 대체로 구매했는데 생각보다는 컬러가 진하네요 ??""",안지워지고 안묻고 하는건 아닌데 오래가는것 같긴해요 18번이 품절이라 대체로 구매했는데 생각보다는 컬러가 진하네요,긍정
음 기대한것만큼 지속력이 좋은 건 모르겠어요 ㅠㅠ 각질 부각도 잘 되고... 팁 안에 묻는게 되게 많아요! 베이스로 바르고 위에 다른 촉촉한 틴트 바르는데 요즘은 잘 손이 안 가네요... 색은 예쁩니다. 겨쿨이면 이 색 추천이요~!,음 기대한것만큼 지속력이 좋은 건 모르겠어요 각질 부각도 잘 되고 팁 안에 묻는게 되게 많아요 베이스로 바르고 위에 다른 촉촉한 틴트 바르는데 요즘은 잘 손이 안 가네요 색은 예쁩니다 겨쿨이면 이 색 추천이요,긍정
프렌코즈 벨벳틴트만 씁니다 잘 안 지워지고 좋아요,프렌코즈 벨벳틴트만 씁니다 잘 안 지워지고 좋아요,긍정
"""빠른배송 잘받았습니다",빠른배송 잘받았습니다,긍정
처음 발랐을때 색이 되게 진해서 당황했는데 조금 찍어서 펴서 바르니깐 원하던 색깔이고 오래 지속되서 만족합니다.,처음 발랐을때 색이 되게 진해서 당황했는데 조금 찍어서 펴서 바르니깐 원하던 색깔이고 오래 지속되서 만족합니다,긍정
"""오래 유지되고 색도 진하고 예쁜대",오래 유지되고 색도 진하고 예쁜대,긍정
예전보다 덜 매트한 느낌 그래서 더 잘지워짐 ㅜㅜ,예전보다 덜 매트한 느낌 그래서 더 잘지워짐,긍정
"""색깔 너무 예쁘고 너뮤 좋아요",색깔 너무 예쁘고 너뮤 좋아요,긍정
화장을 평소 안하고 선크림만 바르는데 오자말자 발라보니 얼굴을 화사하게 밝혀주네요 풀립은 저에겐 너무 진한듯해서 한번 톡 바르고 그라데이션해주니 화사하니 좋아요,화장을 평소 안하고 선크림만 바르는데 오자말자 발라보니 얼굴을 화사하게 밝혀주네요 풀립은 저에겐 너무 진한듯해서 한번 톡 바르고 그라데이션해주니 화사하니 좋아요,긍정
항상 포렌코즈만 사용합니다. 여러 립제품 다 사용했지만 지속력 하나만큼은 제일 길더라구요 ㅎ 색상도 제피부색이랑 찰떡이라 앞으로도 포렌코즈만 쭉 사용예정입니다.,항상 포렌코즈만 사용합니다 여러 립제품 다 사용했지만 지속력 하나만큼은 제일 길더라구요 색상도 제피부색이랑 찰떡이라 앞으로도 포렌코즈만 쭉 사용예정입니다,긍정
컬러 고민 수십번했는데 상세페이지랑 발색은 다르지만 지속력은 넘사임 ㅠㅠ,컬러 고민 수십번했는데 상세페이지랑 발색은 다르지만 지속력은 넘사임,긍정
색상 이쁘구요. 지속력이 정말 좋아요,색상 이쁘구요 지속력이 정말 좋아요,긍정
색을 잘못 골랐나봐여.. 일부러 어두운 톤 골랐는데 밝은게 옴 ㅠ 빨간 느낌은 저랑 안어울리는데 선택 미스로 좀 아쉬워요 그래도 지속력이랑은 이거 못따라가죠,색을 잘못 골랐나봐여 일부러 어두운 톤 골랐는데 밝은게 옴 빨간 느낌은 저랑 안어울리는데 선택 미스로 좀 아쉬워요 그래도 지속력이랑은 이거 못따라가죠,긍정
"""2호 갈라 써보고 지속력이 너무 좋고 입술 위에서 답답함 없이 얇게 밀착되어 제품력이 생각보다 좋아서 팬시 컬러 주문했어요.",2호 갈라 써보고 지속력이 너무 좋고 입술 위에서 답답함 없이 얇게 밀착되어 제품력이 생각보다 좋아서 팬시 컬러 주문했어요,긍정
생각햇더보여지던 생상아님,생각햇더보여지던 생상아님,긍정
넘 진해요 파우더 몇번 두드려서 색감을 좀 죽여줘야 이쁘네요,넘 진해요 파우더 몇번 두드려서 색감을 좀 죽여줘야 이쁘네요,긍정
지웠을때느낌 오렌지빛??저는 별로예요 진짜싫어하는컬러나와서 하나만시킬걸 그랬어요 둘다 똑같이 나와서 ....,지웠을때느낌 오렌지빛저는 별로예요 진짜싫어하는컬러나와서 하나만시킬걸 그랬어요 둘다 똑같이 나와서,긍정
빠른 착색이지만 물속애선 오래유지되는지 전혀 노루겠고요 가을원톤애게 너무 안얼리는 색상입니다,빠른 착색이지만 물속애선 오래유지되는지 전혀 노루겠고요 가을원톤애게 너무 안얼리는 색상입니다,긍정
생각보다 진하게 발려서 잘 조절해서 발라야합니다 지속력은 좋아요,생각보다 진하게 발려서 잘 조절해서 발라야합니다 지속력은 좋아요,긍정
저에겐 안맞네요 ㅠㅠ,저에겐 안맞네요,긍정
"""요플레 현상 너무 심해요 좀만 지나면 입술에 허옇게 있어서 드러워보이구.... 요즘 요플레 현상 없는 제품 많이 나오고 있는데 실망이에요",요플레 현상 너무 심해요 좀만 지나면 입술에 허옇게 있어서 드러워보이구 요즘 요플레 현상 없는 제품 많이 나오고 있는데 실망이에요,긍정
립타투 제품은 처음이라 그런지 이런 텍스처 인줄 몰랐어요.저는 바르고 마르면 떼어내고 촉촉한 입술을상상했는데 생각보다 많이 건조해서 저는 안쓸것 같네요.색상은 예뻐요,립타투 제품은 처음이라 그런지 이런 텍스처 인줄 몰랐어요저는 바르고 마르면 떼어내고 촉촉한 입술을상상했는데 생각보다 많이 건조해서 저는 안쓸것 같네요색상은 예뻐요,긍정
나와있는 실제 발색컬러와 정말 너무 달라요 어느정도면 괜찮은데 너무 다르네요 ..ㅠㅠㅠ 지속력은 좋는데 색이 너무 달라서 제 피부톤이랑은 너무 달라서 속상 .. 참고하고 구매하세요 !,나와있는 실제 발색컬러와 정말 너무 달라요 어느정도면 괜찮은데 너무 다르네요 지속력은 좋는데 색이 너무 달라서 제 피부톤이랑은 너무 달라서 속상 참고하고 구매하세요,긍정
"""아직 바르진 않았는데 워낙 유명해서 좋을 거라고 생각합니다",아직 바르진 않았는데 워낙 유명해서 좋을 거라고 생각합니다,긍정
"""지속력24시간 광고..에 또속은???♀?",지속력24시간 광고에 또속은,긍정
베이스로 깔 수 있는 제형도 아닌데 토인되더라고요,베이스로 깔 수 있는 제형도 아닌데 토인되더라고요,긍정
본체랑 뭔가 모르겠는데 딱 안 맞아서 립 케이스가 덜렁거리고 지속력 꽝임,본체랑 뭔가 모르겠는데 딱 안 맞아서 립 케이스가 덜렁거리고 지속력 꽝임,긍정
림스틱 녹인 맛 나요 지속력 꽝임,림스틱 녹인 맛 나요 지속력 꽝임,긍정
너무 매트하고 지속력도 짧아요,너무 매트하고 지속력도 짧아요,긍정
"""진짜 조금만 발라도 너무 많이 발리는데다가",진짜 조금만 발라도 너무 많이 발리는데다가,긍정
언제나 느끼는 거지만 화면 색상과 실제 내가 받아보고 썼을때 색상이 참.. 많이 달라요ㅠㅠ 이번에도 실패...,언제나 느끼는 거지만 화면 색상과 실제 내가 받아보고 썼을때 색상이 참 많이 달라요 이번에도 실패,긍정
언제나 느끼는 거지만 화면 색상과 실제 내가 받아보고 썼을때 색상이 참.. 많이 달라요ㅠㅠ 이번에도 실패...,언제나 느끼는 거지만 화면 색상과 실제 내가 받아보고 썼을때 색상이 참 많이 달라요 이번에도 실패,긍정
색깔이 실제로 보니 안좋네요,색깔이 실제로 보니 안좋네요,긍정
"""다른라인 사보고 좋아서 구매했는데 실망이 크네요",다른라인 사보고 좋아서 구매했는데 실망이 크네요,긍정
리뷰보고 산건데 쌤플이 하나도 없네요ㅠㅠ,리뷰보고 산건데 쌤플이 하나도 없네요,긍정
3가지 색상 모두 형광 발색이에요. 이런 색은 처음입니다ㅠ 마룬은 그냥 크레파스 주황색이에요,3가지 색상 모두 형광 발색이에요 이런 색은 처음입니다 마룬은 그냥 크레파스 주황색이에요,긍정
"""기대하고 구매했는데 균일하게 발리지 않고",기대하고 구매했는데 균일하게 발리지 않고,긍정
조금 많이 바르면 혓바닥까지 퍼지고 입술도 겁나 잘틈 아주고금 바르고 손으로 펴져야 함 약간 오래가는 감은 있으나 괜히 샀음 광고에 속지 말길..,조금 많이 바르면 혓바닥까지 퍼지고 입술도 겁나 잘틈 아주고금 바르고 손으로 펴져야 함 약간 오래가는 감은 있으나 괜히 샀음 광고에 속지 말길,긍정
지속력 좋은 틴트 검색해서 처음 구매해 보았는데 바르자 마자 입술에서 겉돌고 뭉치고 ㅠ 색상도 흰끼와 형광기가 있어서 예쁘지가 않네요 ㅠ 타투 틴트 처음이고 리뷰랑 광고가 많아서 기대하고 주문했는데 개인적으로 완.실망 했어요..,지속력 좋은 틴트 검색해서 처음 구매해 보았는데 바르자 마자 입술에서 겉돌고 뭉치고 색상도 흰끼와 형광기가 있어서 예쁘지가 않네요 타투 틴트 처음이고 리뷰랑 광고가 많아서 기대하고 주문했는데 개인적으로 완실망 했어요,긍정
"""아..대략난감 ㅡㅡ^",아대략난감,부정
"""아..대략난감 ㅡㅡ^",아대략난감,부정
색이 좀 촌스럽고… 입술이 많이 건조해진다,색이 좀 촌스럽고 입술이 많이 건조해진다,긍정
틴트 상자각이 열려있음 누가 환불한거 보내준듯 ㅡㅡ 이렇게 막 대충 판매하지마세요 기분나쁨,틴트 상자각이 열려있음 누가 환불한거 보내준듯 이렇게 막 대충 판매하지마세요 기분나쁨,긍정
열어보니 틴트 들어있는 투명한 상자 각이 다 뜯어져있음 환불한거 준건지 ㅡㅡ 기분 나쁨,열어보니 틴트 들어있는 투명한 상자 각이 다 뜯어져있음 환불한거 준건지 기분 나쁨,긍정
"""개인적으로는 색상이 어울리지 않고",개인적으로는 색상이 어울리지 않고,긍정
색상이 너무 진하고 틴트를 지우기가 힘들었어요 물놀이시 바르면 좋을듯요,색상이 너무 진하고 틴트를 지우기가 힘들었어요 물놀이시 바르면 좋을듯요,긍정
"""틴트는",틴트는,긍정
한달사용,한달사용,긍정
잘받았어요 잘쓸게요 입술각질부각 있어요,잘받았어요 잘쓸게요 입술각질부각 있어요,긍정
색상이 이미지랑 좀 다르게 발색이되어 아쉬워요,색상이 이미지랑 좀 다르게 발색이되어 아쉬워요,긍정
조금 아쉽네요 각질부각 됩니다. 향기는 좋아요,조금 아쉽네요 각질부각 됩니다 향기는 좋아요,긍정
뚜껑색이 달라 보니까 색상은 비슷한데 다른걸 보내줬네요. 근데 보니까 가격이 같길래 그냥 쓰렵니다 교환하기도귀찮고... 제품군이 여러개면 잘 구분해서 보내주시기바랍니다,뚜껑색이 달라 보니까 색상은 비슷한데 다른걸 보내줬네요 근데 보니까 가격이 같길래 그냥 쓰렵니다 교환하기도귀찮고 제품군이 여러개면 잘 구분해서 보내주시기바랍니다,긍정
"""샘플로 주신 다른색상은 각질부각없어요.",샘플로 주신 다른색상은 각질부각없어요,긍정
"""너무밝아요",너무밝아요,긍정
건조하고 별루에요 ㅜㅜ,건조하고 별루에요,긍정
조금만 발라서 발림성은 좋으나 오래가진 않아요 메트해요,조금만 발라서 발림성은 좋으나 오래가진 않아요 메트해요,긍정
색상을 잘못선택해서 속상해요~~,색상을 잘못선택해서 속상해요,긍정
"""생각했던것보다 색이 정말 진하네요",생각했던것보다 색이 정말 진하네요,긍정
발림성 별로고 ㅠㅠ,발림성 별로고,긍정
나는 조은지 모르겠는데ㅠ,나는 조은지 모르겠는데,긍정
좀 건조해요...!!,좀 건조해요,긍정
