review,cleaned,sentiment
생각보다 바름에잇어서 퍽퍽해요!,생각보다 바름에잇어서 퍽퍽해요,긍정
"""발림성과 색표현 향은 제 개인취향에 맞았어요",발림성과 색표현 향은 제 개인취향에 맞았어요,긍정
조금만 마니바르면 이빨이고 옷이고 묻어남,조금만 마니바르면 이빨이고 옷이고 묻어남,긍정
한달사용,한달사용,긍정
색 이쁘고 양 많아요. 근데 너무 건조해서 글로스 탑으로 써줘야함다. 그 외엔 다 좋아요!,색 이쁘고 양 많아요 근데 너무 건조해서 글로스 탑으로 써줘야함다 그 외엔 다 좋아요,긍정
처음 써보는데 너무 찐하고 바르고 있으면 입술이 건조하네요,처음 써보는데 너무 찐하고 바르고 있으면 입술이 건조하네요,긍정
지속력이 짧아요. 칼라가 연해요,지속력이 짧아요 칼라가 연해요,긍정
화면만 보고 밝은 컬러 인줄 알고 데일리에 적합하지 않을까 구매했는데 봄같은 컬러얘요. 김남주 배우가 웨이브머리에(?) 그 립스틱 그때 유행했을때 연한 분홍 느낌.. 특별한 날에만 바를려구요. 지속력은 지켜봐야 할거 같아요.,화면만 보고 밝은 컬러 인줄 알고 데일리에 적합하지 않을까 구매했는데 봄같은 컬러얘요 김남주 배우가 웨이브머리에 그 립스틱 그때 유행했을때 연한 분홍 느낌 특별한 날에만 바를려구요 지속력은 지켜봐야 할거 같아요,긍정
코랄 계열이라고 해서 화면 색상도 유심히 보고 샀는데 화면과 실제 느낌이 달라서 아쉽지만 별 뺍니다,코랄 계열이라고 해서 화면 색상도 유심히 보고 샀는데 화면과 실제 느낌이 달라서 아쉽지만 별 뺍니다,긍정
색상 너무 달라서 실망스러웠고 지속력이 좋지도 않았습니다.. 너무 촌스러운 분홍색이라서 놀랬습니다..,색상 너무 달라서 실망스러웠고 지속력이 좋지도 않았습니다 너무 촌스러운 분홍색이라서 놀랬습니다,긍정
떼어내고 진하게 남지 않네요 잘 지워지고요... ㅠㅠ,떼어내고 진하게 남지 않네요 잘 지워지고요,긍정
바르고나서 음식을 먹거나 시간이 지나면 색은 남아있긴한데 입술 주변에 번져보여요.지속력은 그래도 나름 만족이에요.,바르고나서 음식을 먹거나 시간이 지나면 색은 남아있긴한데 입술 주변에 번져보여요지속력은 그래도 나름 만족이에요,긍정
뻑뻑하고 진해요 발색력은 좋습니다,뻑뻑하고 진해요 발색력은 좋습니다,긍정
"""생각보다 지속력이 짧고, 색깔이 너무밝아요""",생각보다 지속력이 짧고 색깔이 너무밝아요,긍정
좋아요~~~~~~~~~,좋아요,부정
"""좋아요",좋아요,부정
생각보다 지속력이 그리 길진않아요ㅠㅠㅠ,생각보다 지속력이 그리 길진않아요,긍정
"""가을 소프트 : 채끼 없는줄 알았는데 모스, 퀸, 팟어팻 모든 색이 채끼가 엄청나여 ㅎ 이거 어떻게ㅜ할까요 세개나 샀는데 흑흑""",가을 소프트 채끼 없는줄 알았는데 모스 퀸 팟어팻 모든 색이 채끼가 엄청나여 이거 어떻게할까요 세개나 샀는데 흑흑,긍정
그냥그래요.......,그냥그래요,긍정
제일 무난한 색입니다,제일 무난한 색입니다,긍정
"""저랑 색이 안어울리는 것같아요~",저랑 색이 안어울리는 것같아요,긍정
너무뻑뻑해서 입술에바르면 각질이너무 부각되네요,너무뻑뻑해서 입술에바르면 각질이너무 부각되네요,긍정
지속력 아주 좋아요,지속력 아주 좋아요,긍정
"""요즘 립 제품은 정말 종류도 많고, 색상도 너무 다양해서 뭘 사야 할지 항상 고민되잖아요.",요즘 립 제품은 정말 종류도 많고 색상도 너무 다양해서 뭘 사야 할지 항상 고민되잖아요,긍정
"""제가 포렌코즈 제품은 예전에도 한번 리뷰를 한적이 있었는데요.",제가 포렌코즈 제품은 예전에도 한번 리뷰를 한적이 있었는데요,긍정
"""포렌코즈 틴트는 주기적으로 신상컬러가 추가되는데 청담 메이크업 아티스트와 협업해서 9가지 색상이 출시되었어요 이제 총 50가지 컬러가 됬는데 역대급 색상 많은 틴트에요 기존 포렌코즈 타투 끌레르 벨벳 틴트는 쨍한 색상이 특징인데 신상컬러는 색감이 더 부드러워졌어요 그리고 용기 컬러가 하늘색으로 변경됬는데 트렌디한 느낌 물씬 느껴지고 더 예뻐졌어요 지속력 좋은 틴트 하면 떠오르는 포렌코즈 인체적용시험을 통해 24시간 롱래스팅 인증을 완료해서 물놀이틴트 추천 해요",포렌코즈 틴트는 주기적으로 신상컬러가 추가되는데 청담 메이크업 아티스트와 협업해서 9가지 색상이 출시되었어요 이제 총 50가지 컬러가 됬는데 역대급 색상 많은 틴트에요 기존 포렌코즈 타투 끌레르 벨벳 틴트는 쨍한 색상이 특징인데 신상컬러는 색감이 더 부드러워졌어요 그리고 용기 컬러가 하늘색으로 변경됬는데 트렌디한 느낌 물씬 느껴지고 더 예뻐졌어요 지속력 좋은 틴트 하면 떠오르는 포렌코즈 인체적용시험을 통해 24시간 롱래스팅 인증을 완료해서 물놀이틴트 추천 해요,긍정
"""설레는 마음으로 포렌코즈 타투 끌레르 벨벳 틴트를 발라봤는데, 와… 첫인상부터 발색이 진짜 진-하게 올라와 놀랐는데요. 한 번만 쓱 발라도 컬러가 꽉 차고, 너무 과하지 않게 보송보송하게 마무리돼서 입술 주름 끼임도 없고, 무엇보다 시간이 지나도 거의 그대로 남아있는 게 신세계였습니다. 처음엔 “에이 그래도 밥 먹으면 지워지겠지” 했는데, 점심 먹고 나서 거울을 봤는데 웬걸? 거의 그대로더라고요! 물론 살짝 안쪽은 사라지긴 하는데, 그 얼룩덜룩 무너지는 게 아니라 자연스럽게 빠져서 오히려 수정하기도 편했고요. 하루 종일 거울 볼 때마다 “나 오늘 립 잘 먹었다” 하고 기분 좋아졌고, 수정하느라 파우치 꺼낼 필요도 없으니까 진짜 편하더라고요.이제는 출근할 때 고민할 필요도 없어. 그냥 포렌코즈 타투 끌레르 벨벳 틴트 하나 챙겨서 휘리릭 바르고 나가고 있어요!""",설레는 마음으로 포렌코즈 타투 끌레르 벨벳 틴트를 발라봤는데 와 첫인상부터 발색이 진짜 진하게 올라와 놀랐는데요 한 번만 쓱 발라도 컬러가 꽉 차고 너무 과하지 않게 보송보송하게 마무리돼서 입술 주름 끼임도 없고 무엇보다 시간이 지나도 거의 그대로 남아있는 게 신세계였습니다 처음엔 에이 그래도 밥 먹으면 지워지겠지 했는데 점심 먹고 나서 거울을 봤는데 웬걸 거의 그대로더라고요 물론 살짝 안쪽은 사라지긴 하는데 그 얼룩덜룩 무너지는 게 아니라 자연스럽게 빠져서 오히려 수정하기도 편했고요 하루 종일 거울 볼 때마다 나 오늘 립 잘 먹었다 하고 기분 좋아졌고 수정하느라 파우치 꺼낼 필요도 없으니까 진짜 편하더라고요이제는 출근할 때 고민할 필요도 없어 그냥 포렌코즈 타투 끌레르 벨벳 틴트 하나 챙겨서 휘리릭 바르고 나가고 있어요,긍정
"""패키지는 포렌코즈의 특유의 감성이 잘 엿보이고",패키지는 포렌코즈의 특유의 감성이 잘 엿보이고,긍정
"""코덕이라면 다~ 알만한 포렌코즈 립틴트!",코덕이라면 다 알만한 포렌코즈 립틴트,긍정
"""포렌코즈 틴트 너무 좋아서 자주 쓰는데 이번에 신상품 나왔다고 해서 사용해 봤습니다!",포렌코즈 틴트 너무 좋아서 자주 쓰는데 이번에 신상품 나왔다고 해서 사용해 봤습니다,긍정
"""요즘 계절감도 그렇고 쿨한 느낌의",요즘 계절감도 그렇고 쿨한 느낌의,긍정
"""엄청 기대되었던 타투 벨벳틴트인데요 이번에 신상이 나옸다고 해서 46 로즈베리로 픽해봤습니다 벨벳틴트 답게 부드러운 텍스처가 인상 깊었는데, 보이는대로 발색이 돼서 컬러감이 너무 예뻤어요 46번 로즈베리는 쿨톤과 웜톤 중간, 라이트와 다크 중간 컬러로 누가나 발라도 잘어울릴 것 같은 생기 있는 로지컬러랍니다 근데 입술을 촉촉하게 하고 발라야 각질 부각이 안되고, 음식이나 물 먹고 난뒤에는 입술 안쪽이 잘지워지는 편이에요 참고해서 바르면 좋을 것 같아요 솔직 후기 마칩니다 ^^""",엄청 기대되었던 타투 벨벳틴트인데요 이번에 신상이 나옸다고 해서 46 로즈베리로 픽해봤습니다 벨벳틴트 답게 부드러운 텍스처가 인상 깊었는데 보이는대로 발색이 돼서 컬러감이 너무 예뻤어요 46번 로즈베리는 쿨톤과 웜톤 중간 라이트와 다크 중간 컬러로 누가나 발라도 잘어울릴 것 같은 생기 있는 로지컬러랍니다 근데 입술을 촉촉하게 하고 발라야 각질 부각이 안되고 음식이나 물 먹고 난뒤에는 입술 안쪽이 잘지워지는 편이에요 참고해서 바르면 좋을 것 같아요 솔직 후기 마칩니다,긍정
"""이번에 포렌코즈 타투 끌레르 벨벳 틴트의 NEW Color 중",이번에 포렌코즈 타투 끌레르 벨벳 틴트의 NEW Color 중,긍정
"""이번 신상 컬러가 여리여리하느 데일리로 쓰기 좋았는데요.",이번 신상 컬러가 여리여리하느 데일리로 쓰기 좋았는데요,긍정
포렌코즈 예전에 지인 추천으로 사용해봤는데 지속력이 너무 좋고 발색이 이쁘게 잘 표현되서 데일리로 잘 쓰다가 이번에 색감 이쁜거 나왔다고해서 픽하러 갔는데 대박 ~ 봄웜라이트인데 그렇게 튀지도 않고 화장 하든 안하든 너무 잘 어울리더라구요 ?? 이룸도 어쩜 이뿐가요 ... ???? 양도 많은거 같아 오래쓸수있을거 같아용 !,포렌코즈 예전에 지인 추천으로 사용해봤는데 지속력이 너무 좋고 발색이 이쁘게 잘 표현되서 데일리로 잘 쓰다가 이번에 색감 이쁜거 나왔다고해서 픽하러 갔는데 대박 봄웜라이트인데 그렇게 튀지도 않고 화장 하든 안하든 너무 잘 어울리더라구요 이룸도 어쩜 이뿐가요 양도 많은거 같아 오래쓸수있을거 같아용,긍정
로지에는 딱 장미와 복숭아가 섞인 듯한 고급스러운 로즈 MLBB컬러였습니다~~ 스머징해도 컬러가 탁해지지 않고 자연스럽게 퍼지고 시간 지나도 입술에 스며들 듯 남아 있는 착색력이 아주 인상적이였습니다 하루 종일 수정 화장 거의 안 해도 될 정도로 지속력은 최고였어요~~ 촉촉하게 발리고 보송하게 픽스되서 하루 종일 착붙는 벨벳 틴트의 정석인 제품이네요,로지에는 딱 장미와 복숭아가 섞인 듯한 고급스러운 로즈 MLBB컬러였습니다 스머징해도 컬러가 탁해지지 않고 자연스럽게 퍼지고 시간 지나도 입술에 스며들 듯 남아 있는 착색력이 아주 인상적이였습니다 하루 종일 수정 화장 거의 안 해도 될 정도로 지속력은 최고였어요 촉촉하게 발리고 보송하게 픽스되서 하루 종일 착붙는 벨벳 틴트의 정석인 제품이네요,긍정
"""포렌코즈 45호 코지블로섬은 따뜻한 코랄과 살구빛이 섞인 색감으로, MLBB 립 추천에 딱 맞는 자연스러운 톤이에요. 웜톤 피부에 바르면 피부가 한층 더 화사해 보이고, 웜톤 립 추천으로 강력 추천할 만해요. 이 색은 너무 튀지 않으면서도 생기를 더해주는 데일리 립 메이크업에 최적화된 느낌? ?? 특히 조명 아래에서 발색이 더 예쁘게 돋보여서, 셀카 찍을 때마다 기분이 좋아져요.""",포렌코즈 45호 코지블로섬은 따뜻한 코랄과 살구빛이 섞인 색감으로 MLBB 립 추천에 딱 맞는 자연스러운 톤이에요 웜톤 피부에 바르면 피부가 한층 더 화사해 보이고 웜톤 립 추천으로 강력 추천할 만해요 이 색은 너무 튀지 않으면서도 생기를 더해주는 데일리 립 메이크업에 최적화된 느낌 특히 조명 아래에서 발색이 더 예쁘게 돋보여서 셀카 찍을 때마다 기분이 좋아져요,긍정
"""포렌코즈 타투 끌레르 벨벳틴트가 리뉴얼되면서, 특히 38번 앨리스 컬러가 더 세련되고 부드럽게 바뀌었어요.",포렌코즈 타투 끌레르 벨벳틴트가 리뉴얼되면서 특히 38번 앨리스 컬러가 더 세련되고 부드럽게 바뀌었어요,긍정
"""컬러 진심 너무 예쁘지 않나요.. 발색 하자마자 너무 놀라서 입틀막 해버렸답니다.. 여리여리한 컬러에 포슬+광 텍스처라 아무렇게나 발라도 예쁘고 틴트 외관은 또 왜 이렇게 예쁘게 리뉴얼 됐는지,, 요즘 제 파우치 필수템이에요 :)""",컬러 진심 너무 예쁘지 않나요 발색 하자마자 너무 놀라서 입틀막 해버렸답니다 여리여리한 컬러에 포슬광 텍스처라 아무렇게나 발라도 예쁘고 틴트 외관은 또 왜 이렇게 예쁘게 리뉴얼 됐는지 요즘 제 파우치 필수템이에요,긍정
립라이너와 함께 사용해주었더니 입술이 도톰해보이고 좋습니다. ?? 생각보다 조금 더 형광기가 있는 컬러예요. 그래서 그런지 얼굴을 환하게 밝혀주는 느낌이 듭니다. 조명마다 컬러가 조금씩 달라보이네요. 사용감 부드러워요. 약간의 밀림이 있지만 티슈로 한번 찍어내어주면 좋을것같네요??,립라이너와 함께 사용해주었더니 입술이 도톰해보이고 좋습니다 생각보다 조금 더 형광기가 있는 컬러예요 그래서 그런지 얼굴을 환하게 밝혀주는 느낌이 듭니다 조명마다 컬러가 조금씩 달라보이네요 사용감 부드러워요 약간의 밀림이 있지만 티슈로 한번 찍어내어주면 좋을것같네요,긍정
벨벳틴트 부드러운 발림성에 색감이 참 예쁘게 표현되어 좋네요! 말린장미빛 컬러감이라 더 맘에 들어요~,벨벳틴트 부드러운 발림성에 색감이 참 예쁘게 표현되어 좋네요 말린장미빛 컬러감이라 더 맘에 들어요,긍정
각질도 없는 편인데 잘지워지고 밀려요... 또 구매는 안할거에요,각질도 없는 편인데 잘지워지고 밀려요 또 구매는 안할거에요,긍정
이거 매트립인지 모르고 샀어요ㅠㅠㅠ,이거 매트립인지 모르고 샀어요,긍정
"""컬러는 쨍한데 입술이 트더라구여 ㅠ",컬러는 쨍한데 입술이 트더라구여,긍정
응?뭐지하고 전에 쓰던거랑 비교했봤더니 크기가 변했네요 ㅋㅋㅋ,응뭐지하고 전에 쓰던거랑 비교했봤더니 크기가 변했네요,긍정
일단 사진이랑 발색 너무 다르고요..핑크착색 됩니다ㅜㅜ지속력도 썩 그렇게 좋은지는 모르겠어요 밥먹고나면 다지워져요,일단 사진이랑 발색 너무 다르고요핑크착색 됩니다지속력도 썩 그렇게 좋은지는 모르겠어요 밥먹고나면 다지워져요,긍정
발색이랑은 다 좋은데 내용물이 다 세서 버리는양이 더 많네요,발색이랑은 다 좋은데 내용물이 다 세서 버리는양이 더 많네요,긍정
이색은 정말 별로에요. 병원에 어울리는 아픈보라~~색이 좀 많이 아쉽네요,이색은 정말 별로에요 병원에 어울리는 아픈보라색이 좀 많이 아쉽네요,긍정
배송도 늦고 고객대응이 엉망입니다,배송도 늦고 고객대응이 엉망입니다,긍정
글쎄요.. 광고만큼은 썩…,글쎄요 광고만큼은 썩,긍정
발림성은 뻑뻑해요 지속력은 적당해요 발색력은 연해요,발림성은 뻑뻑해요 지속력은 적당해요 발색력은 연해요,긍정
색상이 바르니까 다르네요 지속력도 보통이요,색상이 바르니까 다르네요 지속력도 보통이요,긍정
사진처럼 처음 오픈하는데 틴트 본체랑 분리됐어요…예쁘고 지속력 오래가서 좋은데 쓰려고 오픈할때마다 분리되네요. 교환귀찮아서 그냥 쓰지만 검수 잘 부탁합니다,사진처럼 처음 오픈하는데 틴트 본체랑 분리됐어요예쁘고 지속력 오래가서 좋은데 쓰려고 오픈할때마다 분리되네요 교환귀찮아서 그냥 쓰지만 검수 잘 부탁합니다,긍정
"""흰끼가 돌아서 둥둥 떠보입니다.",흰끼가 돌아서 둥둥 떠보입니다,긍정
생각보다 색이 핫핑크였슴.. 상세패지랑은 많이 차이가 있는 듯.,생각보다 색이 핫핑크였슴 상세패지랑은 많이 차이가 있는 듯,긍정
"""밀착력이 생각보다 별로예요",밀착력이 생각보다 별로예요,긍정
"""옛날부터 쓰던 제품이라 좋아서 재구매 한건데 뭐가",옛날부터 쓰던 제품이라 좋아서 재구매 한건데 뭐가,긍정
"""뽐므, 뮈니, 미뇽, 피크, 카스테라, 룰러, 뮬리, 지니아, 브리스, 러디, 피러팻, 버드, 보라, 블랙체리, 퀸, 녹턴, 버디, 캄 구입해 봤는데 이번에 구입한 뮬리, 퀸, 글래스 틴트 모두 쨍한 핑크기가 심해서 놀랬어요 몇몇 컬러는 쨍한 맛에 바르지만, 전반적으로 뮤트한 느낌이 좋아서 포렌코즈 믿고 발랐었는데...""",뽐므 뮈니 미뇽 피크 카스테라 룰러 뮬리 지니아 브리스 러디 피러팻 버드 보라 블랙체리 퀸 녹턴 버디 캄 구입해 봤는데 이번에 구입한 뮬리 퀸 글래스 틴트 모두 쨍한 핑크기가 심해서 놀랬어요 몇몇 컬러는 쨍한 맛에 바르지만 전반적으로 뮤트한 느낌이 좋아서 포렌코즈 믿고 발랐었는데,긍정
"""너무 쨍한 핑크기가 돌아서 놀랐어요,",너무 쨍한 핑크기가 돌아서 놀랐어요,긍정
"""뚜겅이 불량이네요. 잠기지를 안네요.",뚜겅이 불량이네요 잠기지를 안네요,긍정
지속력이 좋다고해서 구입했는데 별루입니다,지속력이 좋다고해서 구입했는데 별루입니다,긍정
